bag,output_index,record_time_ns,width,height,occupied_cells,raster_sha256,exact_replay_match,matched_attempt_index,hash_multiplicity_in_recorded,startup_or_unrecovered
sense1-1,134,1746434370612570603,534,534,273227,ac631d9e5d7c90bd07c2297ce631c377d8c694b9fded71f3379d4bbde7522845,0,,2,1
sense1-1,135,1746434371071316842,534,534,272840,7bd774779911d9d684dbd86d3b42268f9c732c539f4cd1855f51341ba49ded14,1,132,4,0
sense1-1,136,1746434371523073621,534,534,272840,7bd774779911d9d684dbd86d3b42268f9c732c539f4cd1855f51341ba49ded14,1,133,4,0
sense1-1,137,1746434371971710383,534,534,272470,d8ffe60f69f4d75961ca64b0ad5f935eb85a472a5015d20a6159725a3e4c6560,1,134,2,0
sense1-1,138,1746434372428402132,534,534,272470,d8ffe60f69f4d75961ca64b0ad5f935eb85a472a5015d20a6159725a3e4c6560,1,135,2,0
sense1-1,139,1746434372887876826,534,534,272722,d9f2ae49ab86998732f04c0bf49f039957a9384f4afd583032c5b353ffc5db01,1,138,2,0
sense1-1,140,1746434373337550940,534,534,272720,5305f8d1e762a6397e05f7fc2f9b4ee9cf07805ac6307981c1bcc4fcde1563ea,1,139,4,0
sense1-1,141,1746434373796123625,534,534,272720,5305f8d1e762a6397e05f7fc2f9b4ee9cf07805ac6307981c1bcc4fcde1563ea,1,140,4,0
sense1-1,142,1746434374244115562,534,534,272720,5305f8d1e762a6397e05f7fc2f9b4ee9cf07805ac6307981c1bcc4fcde1563ea,1,141,4,0
sense1-1,143,1746434374694535003,534,534,272720,5305f8d1e762a6397e05f7fc2f9b4ee9cf07805ac6307981c1bcc4fcde1563ea,0,,4,1
sense1-1,144,1746434375146340895,534,534,272722,d9f2ae49ab86998732f04c0bf49f039957a9384f4afd583032c5b353ffc5db01,0,,2,1
sense1-1,145,1746434375605778677,534,534,273052,c37c8523b37bebbc485ea98b9483a6c1707009a49f0e84d2546f9bb40b68baa8,1,143,2,0
sense1-1,146,1746434376059317765,534,534,273052,c37c8523b37bebbc485ea98b9483a6c1707009a49f0e84d2546f9bb40b68baa8,0,,2,1
sense1-1,147,1746434376908156318,663,837,530380,365b28c634f92e8a3719111996d8a506d1bbccdf12f2e5ee944d23eec6db7cb8,1,145,3,0
sense1-1,148,1746434377752878576,663,837,530380,365b28c634f92e8a3719111996d8a506d1bbccdf12f2e5ee944d23eec6db7cb8,1,146,3,0
sense1-1,149,1746434378606813844,663,837,530380,365b28c634f92e8a3719111996d8a506d1bbccdf12f2e5ee944d23eec6db7cb8,1,147,3,0
sense1-1,150,1746434379054980686,534,534,272602,43b013acbca4ff6110a16ced090d90eb12b13d2cd497bd377bf72a0a970eea38,0,,1,1
sense1-1,151,1746434379498478197,534,534,272378,79f2636f6b73e065f29129227a0d34df6c3af6816349fad80742b24408ce39b4,1,149,1,0
sense1-1,152,1746434379967305335,534,534,272381,d3cd22d9a7f49ad5caed549c16ad31d7c9fcf9454f5a34c52bd15b614c33ba57,0,,1,1
sense1-1,153,1746434380420631863,534,534,272809,e9e0b5964f8b9df6a4175cade69ba05428a760bd1a9acc61ae72a55b5cb1ca92,1,150,2,0
sense1-1,154,1746434380866597156,534,534,272809,e9e0b5964f8b9df6a4175cade69ba05428a760bd1a9acc61ae72a55b5cb1ca92,1,151,2,0
sense1-1,155,1746434381632807361,588,831,467818,fa388000b55855627cc26e503df3c71185133fd19e85979b932c6c04e0140cc2,1,153,2,0
sense1-1,156,1746434382393685798,588,831,467818,fa388000b55855627cc26e503df3c71185133fd19e85979b932c6c04e0140cc2,0,,2,1
sense1-1,157,1746434383136411110,586,832,465683,b164cfbce782320e660e06f9beaa99e189bb01124c99d04f56ed6a2a6739c6d8,1,155,1,0
sense1-1,158,1746434383888308799,585,831,464608,7d449d0716152b9ed9cc5d47e38d88eeb727a6d58213902c776a7c89f2c1015f,0,,1,1
sense1-1,159,1746434384338482972,534,534,272634,7d4e32ff05094ad8e76764813f5aed38ef753c246346ce5f160a303687e07451,1,157,4,0
sense1-1,160,1746434384792307854,534,534,272635,e5febbf6c17331b6ab53778a54b9c480d9df01bd41be32d14efe55638c981c3e,0,,1,1
sense1-1,161,1746434385248547646,534,534,272636,1dcee6c09a4e088c0c289aa568fc9decde0f763cd96998c2dce184be8668d287,1,158,2,0
sense1-1,162,1746434385720553424,534,534,272636,1dcee6c09a4e088c0c289aa568fc9decde0f763cd96998c2dce184be8668d287,1,159,2,0
sense1-1,163,1746434386174814068,534,534,272634,7d4e32ff05094ad8e76764813f5aed38ef753c246346ce5f160a303687e07451,1,161,4,0
sense1-1,164,1746434386661235996,534,534,272634,7d4e32ff05094ad8e76764813f5aed38ef753c246346ce5f160a303687e07451,1,162,4,0
sense1-1,165,1746434387119565329,534,534,272634,7d4e32ff05094ad8e76764813f5aed38ef753c246346ce5f160a303687e07451,1,163,4,0
sense1-1,166,1746434387891289667,613,809,472498,37d4c495c9dfe04011d66ad0707df9fb99c51de7d1bf3f9093f72291ea0c3d99,1,166,1,0
sense1-1,167,1746434388652082040,587,849,476440,78e9f830a60ad3e2da772eb8178362f183774c5a6009c583853fe18dccc3b044,0,,1,1
sense1-1,168,1746434389105158014,534,534,272517,ee385c986f56c737ddfae32c20bd7a271fdef1129e2ab5869f104b741e1a3b63,0,,1,1
sense1-1,169,1746434390016021360,667,876,559804,5f9d308790d5f805a8b4255fa1397ae25cc0b0e9b43e126b30560a4fe275b59d,1,167,1,0
sense1-1,170,1746434390965460077,667,888,568815,5e44e5b15a181488272c92e3a7bed83ed6fe1782a4699f130e923bc99724b5c0,0,,1,1
sense1-1,171,1746434391915992954,622,962,574009,4ea2e57089750ff481abfabc8f103b0dbb9763cd3f54aa0fe6aecb471ec8478e,1,170,1,0
sense1-1,172,1746434392394059047,534,534,271019,ace0dc041bb53ac185e8637547177345d8b5a346d91b06ae6c5117de6011b7f8,0,,1,1
sense1-1,173,1746434392859308088,534,534,271916,0209abe71031639f12993fe908741f2b3ed84f40a8e558e87dd8ebedac618be6,1,172,4,0
sense1-1,174,1746434393325530557,534,534,271916,0209abe71031639f12993fe908741f2b3ed84f40a8e558e87dd8ebedac618be6,1,173,4,0
sense1-1,175,1746434393796561886,534,534,271916,0209abe71031639f12993fe908741f2b3ed84f40a8e558e87dd8ebedac618be6,1,174,4,0
sense1-1,176,1746434394242708680,534,534,271916,0209abe71031639f12993fe908741f2b3ed84f40a8e558e87dd8ebedac618be6,1,175,4,0
sense1-1,177,1746434394697471556,534,534,270679,851e6791974884f2e3da1d74b535fa445061ee21038b02f39bcdae0455974f42,1,176,4,0
sense1-1,178,1746434395143116244,534,534,270679,851e6791974884f2e3da1d74b535fa445061ee21038b02f39bcdae0455974f42,1,177,4,0
sense1-1,179,1746434395586302932,534,534,271029,b64384ef4b67b9afd69b252925fa0daf88acda8b3c7b211d89c02b23ee0cf42f,1,178,3,0
sense1-1,180,1746434396063948052,534,534,271029,b64384ef4b67b9afd69b252925fa0daf88acda8b3c7b211d89c02b23ee0cf42f,1,179,3,0
sense1-1,181,1746434396514232233,534,534,270679,851e6791974884f2e3da1d74b535fa445061ee21038b02f39bcdae0455974f42,1,180,4,0
